Positive,Negative,Game_name,Positive_Rate,Link
8667,653,Deep Rock Galactic,0.93,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/
52516,50458,No Mans Sky,0.51,https://store.steampowered.com/app/275850/No_Mans_Sky/
2843,542,Tropico 6,0.84,https://store.steampowered.com/app/492720/Tropico_6/
13626,3844,theHunter Call of the Wild,0.78,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/
10371,1415,Prey,0.88,https://store.steampowered.com/app/480490/Prey/
8170,615,Tabletop Simulator,0.93,https://store.steampowered.com/app/286160/Tabletop_Simulator/
2379,1020,Outward,0.7,https://store.steampowered.com/app/794260/Outward/
2542,380,Thronebreaker The Witcher Tales,0.87,https://store.steampowered.com/app/973760/Thronebreaker_The_Witcher_Tales/
169433,34704,Paladins,0.83,https://store.steampowered.com/app/444090/Paladins/
427,14,FIVE NIGHTS AT FREDDYS VR HELP WANTED,0.97,https://store.steampowered.com/app/732690/FIVE_NIGHTS_AT_FREDDYS_VR_HELP_WANTED/
